puzzle,expected_solution,agent_solution,is_correct,solve_time,status
0020421010402030,3124421313422431,3124421313422431,True,23.572662830352783,solved
0023231000300041,1423231441323241,1423231441323241,True,21.76813793182373,solved
1042400320310000,1342421324313124,1342421324313124,True,31.699265003204346,solved
0342000142100100,1342243142133124,1342243142133124,True,32.77750897407532,solved
1342000004310020,1342421324313124,1342421324313124,True,46.579906702041626,solved
0300413030000423,2314413232411423,2314413232411423,True,45.04848885536194,solved
2314140030000030,2314142331424231,2314142331424231,True,33.56118035316467,solved
1340040000004213,1342243131244213,1342243131244213,True,22.512531757354736,solved
0031300440130300,2431312442131342,,False,1.99,timeout
0041002003144100,3241142323144132,,False,1.11,timeout
3240040020140100,3241142323144132,3241142323144132,True,25.29496121406555,solved
0300142302010002,2314142332414132,2314142332414132,True,17.087728023529053,solved
1300021300300120,1342421324313124,,False,5.08,timeout
2300102301000201,2314142331424231,2314142331424231,True,111.88729357719421,solved
1300400031202001,1342421331242431,,False,0.94,timeout
0340000140133004,1342243142133124,,False,1.0,timeout
3001003014002310,3241413214232314,,False,0.95,timeout
0430034000240210,1432234131244213,1432234131244213,True,110.51568388938904,solved
2004403004203040,2314413214233241,2314413214233241,True,20.57825517654419,solved
0042200100100124,1342243142133124,1342243142133124,True,30.72888159751892,solved
3000400004202314,3142423114232314,3142423114232314,True,38.72688579559326,solved
0042401000240401,1342421331242431,1342421331242431,True,16.376813173294067,solved
0013310010420400,4213312413422431,4213312413422431,True,44.42521858215332,solved
0431002410020010,2431312413424213,2431312413424213,True,26.40868878364563,solved
0200100340302014,3241142341322314,,False,1.55,timeout
0340203002103100,1342243142133124,,False,1.39,timeout
0013002413002001,4213312413422431,4213312413422431,True,44.44155669212341,solved
0102300004202304,4132324114232314,4132324114232314,True,55.523518800735474,solved
2431010000001340,2431312442131342,2431312442131342,True,48.24817132949829,solved
2004413200010400,2314413232411423,,False,1.14,timeout
0400302042001302,2413312442311342,,False,1.01,timeout
0000012403424010,2431312413424213,,False,0.9,timeout
2401300013004010,2431312413424213,2431312413424213,True,103.91751623153687,solved
3240010220000420,3241413223141423,3241413223141423,True,35.53934121131897,solved
0213312004010000,4213312424311342,4213312424311342,True,30.480271816253662,solved
2030310403000210,2431312413424213,2431312413424213,True,26.24402618408203,solved
3120021300400030,3124421313422431,3124421313422431,True,20.35169219970703,solved
2431000001040210,2431134231244213,,False,0.88,timeout
1340203000040203,1342243131244213,,False,1.27,timeout
0200410204200014,3241413214232314,3241413214232314,True,61.219913482666016,solved
0102300120101020,4132324123141423,4132324123141423,True,32.91382336616516,solved
1340203001204000,1342243131244213,1342243131244213,True,32.01081347465515,solved
4000000413402031,4123321413422431,4123321413422431,True,38.417335748672485,solved
0201013214002000,3241413214232314,3241413214232314,True,17.556539058685303,solved
0200403200101403,3241413223141423,3241413223141423,True,33.9990508556366,solved
0030312400424000,2431312413424213,2431312413424213,True,32.79057598114014,solved
3041000003141003,3241413223141423,3241413223141423,True,48.85667181015015,solved
0302040100044210,1342243131244213,1342243131244213,True,26.676162242889404,solved
0000421313400400,3124421313422431,3124421313422431,True,52.28075051307678,solved
0241102300100100,3241142323144132,3241142323144132,True,30.64307475090027,solved
0423031000303200,1423231441323241,,False,129.16,timeout
3201413000000023,3241413223141423,,False,131.78,timeout
0340240000240210,1342243131244213,,False,133.57,timeout
4002320114000010,4132324114232314,,False,131.93,timeout
0210002420011300,4213312424311342,,False,135.49,timeout
0310400200011420,2314413232411423,,False,131.94,timeout
1000231440320000,1423231441323241,,False,133.12,timeout
0304102332000100,2314142332414132,,False,130.95,timeout
2014410230000020,2314413232411423,,False,129.63,timeout
4102004014002004,4132324114232314,,False,129.45,timeout
2031010410000203,2431312413424213,,False,131.31,timeout
1040200100030124,1342243142133124,,False,132.26,timeout
0240003023041003,3241413223141423,,False,134.44,timeout
3040100320040102,3241142323144132,,False,130.98,timeout
2004040300320240,2314142341323241,,False,131.4,timeout
3201140300104000,3241142323144132,,False,130.71,timeout
0024400313020030,3124421313422431,,False,133.71,timeout
3040040000022314,3241142341322314,,False,129.31,timeout
0010042330404100,2314142332414132,,False,129.39,timeout
0241002300022010,3241142341322314,,False,131.87,timeout
2304142000400030,2314142331424231,,False,131.7,timeout
0302421001040030,1342421331242431,,False,131.15,timeout
0001410210230004,2341413214233214,,False,132.27,timeout
1000043140000124,1342243142133124,,False,130.71,timeout
0304100340020240,2314142341323241,,False,131.39,timeout
1023031002400030,1423231432414132,,False,131.39,timeout
1403201030004002,1423231432414132,1423231432414132,True,9277.935996055603,solved
0042420001242000,1342421331242431,,False,129.29,timeout
4003000000311342,4123321424311342,,False,129.12,timeout
0002024120140003,1432324123144123,,False,129.3,timeout
3000021300011042,3124421324311342,,False,129.03,timeout
1000201400404032,1423231432414132,,False,129.38,timeout
0000231032400032,1423231432414132,,False,129.87,timeout
0340200100044203,1342243131244213,,False,129.74,timeout
2010013000001423,2314413232411423,,False,129.07,timeout
0430104040003104,2431134242133124,,False,129.21,timeout
1342000101200010,1342243131244213,,False,129.13,timeout
1040400024300024,1243431224313124,,False,129.17,timeout
3001013220040400,3241413223141423,,False,129.18,timeout
3020420000310042,3124421324311342,,False,129.13,timeout
2430002442001000,2431312442131342,,False,129.5,timeout
2304002030010130,2314142332414132,,False,129.43,timeout
